index,file_path,input_sample_rate,sample_rate,num_samples,resampled
0,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-32-00.json,44800,16000,187246,True
1,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-33-00.json,44800,16000,187246,True
2,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-34-00.json,44800,16000,187246,True
3,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-35-00.json,44800,16000,187246,True
4,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-36-00.json,44800,16000,187246,True
5,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-37-00.json,44800,16000,187246,True
6,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-38-00.json,44800,16000,187246,True
7,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-39-00.json,44800,16000,187246,True
8,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-40-00.json,44800,16000,187246,True
9,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-41-00.json,44800,16000,187246,True
10,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-42-00.json,44800,16000,187246,True
11,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-43-00.json,44800,16000,187246,True
12,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-44-00.json,44800,16000,187246,True
13,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-45-00.json,44800,16000,187246,True
14,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-46-00.json,44800,16000,187246,True
15,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-47-00.json,44800,16000,187246,True
16,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-48-00.json,44800,16000,187246,True
17,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-49-00.json,44800,16000,187246,True
18,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-50-00.json,44800,16000,187246,True
19,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-51-00.json,44800,16000,187246,True
20,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-52-00.json,44800,16000,187246,True
21,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-53-00.json,44800,16000,187246,True
22,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-54-00.json,44800,16000,187246,True
23,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-55-00.json,44800,16000,187246,True
24,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-56-00.json,44800,16000,187246,True
25,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-57-00.json,44800,16000,187246,True
26,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-58-00.json,44800,16000,187246,True
27,data\data_json\bearing\train\Sound_Z603V_2026-06-03_13-59-00.json,44800,16000,187246,True
28,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-00-00.json,44800,16000,187246,True
29,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-01-00.json,44800,16000,187246,True
30,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-02-00.json,44800,16000,187246,True
31,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-03-00.json,44800,16000,187246,True
32,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-04-00.json,44800,16000,187246,True
33,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-05-00.json,44800,16000,187246,True
34,data\data_json\bearing\train\Sound_Z603V_2026-06-03_14-06-00.json,44800,16000,187246,True
